"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"28",2013-06-02,32,33,23,41,20,14,45,22,22,45,29,55,19,34,38,43,18,32,12,21,0,0,26,54,13,22,29,14,0,19,14,42,30,36,35,30,45,27,20,0,28,24,22,19,0,29,21,41,27,15,0
"29",2013-06-09,24,69,30,59,25,24,17,0,17,22,25,82,29,21,27,0,36,31,49,22,0,22,35,36,16,22,21,29,0,23,52,19,29,21,26,11,0,8,17,0,10,23,18,21,24,0,35,24,27,19,0
"30",2013-06-16,33,0,24,30,33,17,23,0,19,13,32,27,0,23,16,0,18,37,24,22,0,33,17,19,31,22,23,31,0,27,20,19,19,28,51,17,83,8,20,23,31,24,29,22,24,0,19,21,27,23,0
"31",2013-06-23,16,0,11,41,30,16,24,23,11,17,46,27,19,13,11,17,27,11,44,43,0,0,35,55,26,0,26,27,0,20,26,32,10,20,18,5,36,12,31,0,10,0,41,25,32,30,32,36,0,26,0
"32",2013-06-30,24,0,25,0,25,26,13,0,0,40,31,54,21,32,17,48,19,39,19,34,0,36,24,20,30,23,26,18,0,17,26,9,21,28,33,16,20,25,17,0,21,0,32,21,100,0,22,31,28,17,0
"33",2013-07-07,27,0,16,19,31,14,12,0,30,26,26,26,19,18,27,24,14,33,10,43,33,20,22,28,25,22,26,18,0,23,27,13,21,16,22,23,18,34,22,0,20,23,23,20,19,0,20,26,0,18,0
"34",2013-07-14,29,32,23,28,26,14,23,25,15,40,28,52,19,23,16,16,28,32,26,21,65,61,30,0,25,22,26,25,0,12,33,20,14,16,15,32,17,22,8,23,25,0,29,21,13,0,22,24,39,27,0
"35",2013-07-21,21,32,27,19,26,14,17,24,15,35,40,26,28,22,11,32,35,25,10,0,32,20,14,54,27,0,31,13,36,16,20,23,15,34,27,12,17,30,24,0,25,0,34,26,52,0,13,23,0,13,0
"36",2013-07-28,28,0,23,18,39,34,64,0,15,31,34,25,0,30,37,27,28,19,15,21,0,41,12,18,29,33,23,20,0,23,23,17,29,31,22,15,33,33,19,0,10,23,26,22,12,29,23,20,26,49,0
"37",2013-08-04,16,30,34,27,42,24,12,0,32,30,24,25,0,29,31,23,44,39,21,20,32,21,18,0,16,22,26,36,0,18,30,6,25,9,30,17,16,33,18,22,16,23,33,29,16,29,31,29,50,18,0
"38",2013-08-11,24,60,33,0,31,32,12,0,33,34,27,25,0,28,42,23,13,30,22,21,0,62,37,18,21,22,36,21,0,23,36,6,26,18,42,20,24,59,21,0,20,0,36,30,31,0,37,34,0,23,94
"39",2013-08-18,47,30,49,37,36,31,23,0,24,32,27,38,18,22,40,34,24,17,45,21,0,20,25,18,35,21,32,43,52,22,30,6,21,18,10,23,64,51,18,22,15,21,36,22,31,29,31,35,50,9,47
"40",2013-08-25,30,0,26,43,34,30,28,0,14,39,45,63,0,20,53,23,17,15,34,0,30,48,24,17,27,41,35,24,33,27,77,16,25,26,20,14,25,47,15,44,25,20,39,38,16,0,32,29,24,29,45
"41",2013-09-01,38,29,27,35,32,60,39,0,13,47,35,51,18,31,24,24,63,33,31,19,0,39,23,18,22,21,29,51,0,25,32,19,34,20,36,18,43,42,17,43,29,31,36,36,20,0,38,26,0,36,0
"42",2013-09-08,21,42,44,0,24,42,27,23,36,32,32,0,51,29,56,15,35,23,47,37,29,37,45,17,40,39,43,53,0,32,46,13,32,27,25,32,63,47,24,20,19,0,43,47,10,0,40,26,23,34,0
"43",2013-09-15,28,0,47,25,42,30,17,24,24,35,71,0,25,39,32,45,30,0,46,19,30,0,62,26,34,40,49,22,31,32,20,18,29,31,39,23,41,43,35,40,9,20,30,39,30,53,39,51,45,33,64
"44",2013-09-22,44,29,49,33,47,24,33,24,24,34,31,38,17,29,29,38,31,20,36,37,44,38,24,34,48,20,68,49,0,19,26,37,36,29,52,27,43,19,32,100,10,20,40,42,41,27,30,43,35,52,0
"45",2013-09-29,36,29,26,32,46,32,22,0,38,36,41,100,17,30,42,13,30,34,29,0,29,28,36,34,33,39,50,34,0,23,20,18,37,51,50,28,13,27,33,20,19,0,36,36,16,26,44,54,45,43,42
"46",2013-10-06,45,43,34,42,50,33,33,0,39,43,29,0,0,37,34,40,58,16,37,29,59,18,12,34,37,40,48,51,31,31,35,36,36,46,43,26,44,33,27,40,24,40,36,33,51,0,40,55,23,29,43
"47",2013-10-13,30,57,56,50,37,32,22,0,13,50,53,63,0,37,58,0,45,19,30,59,44,75,18,68,48,49,41,36,47,27,36,21,19,46,42,28,32,22,24,41,10,19,32,39,12,0,24,38,34,32,0
